"Bank","Code","Country","Tag","Currency"
"Bluewhales  Microfinance Bank","090431","NG","bluewhales","NGN"
"Memphis Microfinance Bank","090432","NG","memphis","NGN"
"Rigo Microfinance Bank","090433","NG","rigo","NGN"
"Insight Microfinance Bank","090434","NG","insight","NGN"
"Links Microfinance Bank","090435","NG","links","NGN"
"Spectrum Microfinance Bank","090436","NG","spectrum","NGN"
"Oakland Microfinance Bank","090437","NG","oakland","NGN"
"Futminna Microfinance Bank","090438","NG","futminna","NGN"
"Ibeto  Microfinance Bank","090439","NG","ibeto","NGN"
"Cherish Microfinance Bank","090440","NG","cherish","NGN"
"Giwa Microfinance Bank","090441","NG","giwa","NGN"
"Rima Microfinance Bank","090443","NG","rima","NGN"
"Boi Mf Bank","090444","NG","boi","NGN"
"Capstone Mf Bank","090445","NG","capstone","NGN"
"Support Mf Bank","090446","NG","support","NGN"
"Moyofade Mf Bank","090448","NG","moyofade","NGN"
"REX MICROFINANCE BANK","090449","NG","rex","NGN"
"Kwasu Mf Bank","090450","NG","kwasu","NGN"
"Atbu  Microfinance Bank","090451","NG","atbu","NGN"
"Unilag  Microfinance Bank","090452","NG","unilag","NGN"
"Uzondu Mf Bank","090453","NG","uzondu","NGN"
"Borstal Microfinance Bank","090454","NG","borstal","NGN"
"MKOBO MICROFINANCE BANK LTD","090455","NG","mkobo","NGN"
"Ospoly Microfinance Bank","090456","NG","ospoly","NGN"
"Nice Microfinance Bank","090459","NG","nice","NGN"
"Oluyole Microfinance Bank","090460","NG","oluyole","NGN"
"Uniibadan Microfinance Bank","090461","NG","uniibadan","NGN"
"Monarch Microfinance Bank","090462","NG","monarch","NGN"
"Rehoboth Microfinance Bank","090463","NG","rehoboth","NGN"
"Unimaid Microfinance Bank","090464","NG","unimaid","NGN"
"Maintrust Microfinance Bank","090465","NG","maintrust","NGN"
"Yct Microfinance Bank","090466","NG","yct","NGN"
"Good Neighbours Microfinance Bank","090467","NG","good_neighbours","NGN"
"Olofin Owena Microfinance Bank","090468","NG","olofin_owena","NGN"
"Aniocha Microfinance Bank","090469","NG","aniocha","NGN"
"DOT MICROFINANCE BANK","090470","NG","dot","NGN"
"Oluchukwu Microfinance Bank","090471","NG","oluchukwu","NGN"
"Caretaker Microfinance Bank","090472","NG","caretaker","NGN"
"Assets Microfinance Bank","090473","NG","assets","NGN"
"Verdant Microfinance Bank","090474","NG","verdant","NGN"
"Giant Stride Microfinance Bank","090475","NG","giant_stride","NGN"
"Anchorage Microfinance Bank","090476","NG","anchorage","NGN"
"Light Microfinance Bank","090477","NG","light","NGN"
"Avuenegbe Microfinance Bank","090478","NG","avuenegbe","NGN"
"First Heritage Microfinance Bank","090479","NG","first_heritage","NGN"
"KOLOMONI MICROFINANCE BANK","090480","NG","kolomoni","NGN"
"Prisco  Microfinance Bank","090481","NG","prisco","NGN"
"CLEARPAY MICROFINANCE BANK","090482","NG","clearpay","NGN"
"Ada Microfinance Bank","090483","NG","ada","NGN"
"Garki Microfinance Bank","090484","NG","garki","NGN"
"Safegate Microfinance Bank","090485","NG","safegate","NGN"
"Fortress Microfinance Bank","090486","NG","fortress","NGN"
"Kingdom College  Microfinance Bank","090487","NG","kingdomcollege","NGN"
"Ibu-Aje Microfinance","090488","NG","ibu_aje","NGN"
"Alvana Microfinance Bank","090489","NG","alvana","NGN"
"Chukwunenye  Microfinance Bank","090490","NG","chukwunenye","NGN"
"Nsuk  Microfinance Bank","090491","NG","nsuk","NGN"
"Oraukwu  Microfinance Bank","090492","NG","oraukwu","NGN"
"Iperu Microfinance Bank","090493","NG","iperu","NGN"
"Boji Boji Microfinance Bank","090494","NG","boji_boji","NGN"
"Prospa Capital Microfinance Bank","090495","NG","prospa_capital","NGN"
"Radalpha Microfinance Bank","090496","NG","radalpha","NGN"
"Palmcoast Microfinance Bank","090497","NG","palmcoast","NGN"
"Catland Microfinance Bank","090498","NG","catland","NGN"
"Pristine Divitis Microfinance Bank","090499","NG","pristine_divitis","NGN"
"Gwong Microfinance Bank","090500","NG","gwong","NGN"
"Boromu Microfinance Bank","090501","NG","boromu","NGN"
"Shalom Microfinance Bank","090502","NG","shalom","NGN"
"Projects Microfinance Bank","090503","NG","projects","NGN"
"Zikora Microfinance Bank","090504","NG","zikora","NGN"
"Nigeria Prisonsmicrofinance Bank","090505","NG","nigeriaprisonsmicrofinance","NGN"
"Solid Allianze Microfinance Bank","090506","NG","solid_allianze","NGN"
"Fims Microfinance Bank","090507","NG","fims","NGN"
"Borno Renaissance Microfinance Bank","090508","NG","borno_renaissance","NGN"
"Capitalmetriq Swift Microfinance Bank","090509","NG","capitalmetriq_swift","NGN"
"Umunnachi Microfinance Bank","090510","NG","umunnachi","NGN"
"Cloverleaf  Microfinance Bank","090511","NG","cloverleaf","NGN"
"Bubayero Microfinance Bank","090512","NG","bubayero","NGN"
"Seap Microfinance Bank","090513","NG","seap","NGN"
"Umuchinemere Procredit Microfinance Bank","090514","NG","umuchinemere","NGN"
"Rima Growth Pathway Microfinance Bank ","090515","NG","rimagrowth","NGN"
"Numo Microfinance Bank","090516","NG","numo","NGN"
"Uhuru Microfinance Bank","090517","NG","uhuru","NGN"
"Afemai Microfinance Bank","090518","NG","afemai","NGN"
"Ibom Fadama Microfinance Bank","090519","NG","ibom_fadama","NGN"
"Ic Globalmicrofinance Bank","090520","NG","ic_global","NGN"
"Foresight Microfinance Bank","090521","NG","foresight","NGN"
"Chase Microfinance Bank","090523","NG","chase","NGN"
"Solidrock Microfinance Bank","090524","NG","solidrock","NGN"
"Triple A Microfinance Bank","090525","NG","triple_a","NGN"
"Crescent Microfinance Bank","090526","NG","crescent","NGN"
"Ojokoro Microfinance Bank","090527","NG","ojokoro","NGN"
"Mgbidi Microfinance Bank","090528","NG","mgbidi","NGN"
"Bankly Microfinance Bank","090529","NG","bankly","NGN"
"Confidence Microfinance Bank Ltd","090530","NG","confidence","NGN"
"Aku Microfinance Bank","090531","NG","aku","NGN"
"Ibolo Micorfinance Bank Ltd","090532","NG","ibolomicorfinance","NGN"
"Polyibadan Microfinance Bank","090534","NG","polyibadan","NGN"
"Nkpolu-Ust Microfinance","090535","NG","nkpolu_ust","NGN"
"Ikoyi-Osun Microfinance Bank","090536","NG","ikoyi_osun","NGN"
"Lobrem Microfinance Bank","090537","NG","lobrem","NGN"
"Blue Investments Microfinance Bank","090538","NG","blue_investments","NGN"
"Enrich Microfinance Bank","090539","NG","enrich","NGN"
"Aztec Microfinance Bank","090540","NG","aztec","NGN"
"Excellent Microfinance Bank","090541","NG","excellent","NGN"
"Otuo Microfinance Bank Ltd","090542","NG","otuomfb","NGN"
"Iwoama Microfinance Bank","090543","NG","iwoama","NGN"
"Aspire Microfinance Bank Ltd","090544","NG","aspire","NGN"
"Abulesoro Microfinance Bank Ltd","090545","NG","abulesoro","NGN"
"Ijebu-Ife Microfinance Bank Ltd","090546","NG","ijebu_ife","NGN"
"Rockshield Microfinance Bank","090547","NG","rockshield","NGN"
"Ally Microfinance Bank","090548","NG","ally","NGN"
"Kc Microfinance Bank","090549","NG","kc","NGN"
"Green Energy Microfinance Bank Ltd","090550","NG","green_energy","NGN"
"Fairmoney Microfinance Bank Ltd","090551","NG","fairmoney","NGN"
"Ekimogun Microfinance Bank","090552","NG","ekimogun","NGN"
"Consistent Trust Microfinance Bank Ltd","090553","NG","consistent_trust","NGN"
"Kayvee Microfinance Bank","090554","NG","kayvee","NGN"
"Bishopgate Microfinance Bank","090555","NG","bishopgate","NGN"
"Egwafin Microfinance Bank Ltd","090556","NG","egwafin","NGN"
"Lifegate Microfinance Bank Ltd","090557","NG","lifegate","NGN"
"Shongom Microfinance Bank Ltd","090558","NG","shongom","NGN"
"Shield Microfinance Bank Ltd","090559","NG","shield","NGN"
"TANADI MFB (CRUST)","090560","NG","tanadi_crust","NGN"
"Akuchukwu Microfinance Bank Ltd","090561","NG","akuchukwu","NGN"
"Cedar Microfinance Bank Ltd","090562","NG","cedar","NGN"
"Balera Microfinance Bank Ltd","090563","NG","balera","NGN"
"Supreme Microfinance Bank Ltd","090564","NG","supreme","NGN"
"Oke-Aro Oredegbe Microfinance Bank Ltd","090565","NG","oke_aro","NGN"
"Okuku Microfinance Bank Ltd","090566","NG","okuku","NGN"
"Flutterwave MFB (Formerly OK MFB)","090567","NG","flutterwavemfb","NGN"
"Broadview Microfinance Bank Ltd","090568","NG","broadview","NGN"
"Qube Microfinance Bank Ltd","090569","NG","qube","NGN"
"Iyamoye Microfinance Bank Ltd","090570","NG","iyamoye","NGN"
"Ilaro Poly Microfinance Bank Ltd","090571","NG","ilaro_poly","NGN"
"Ewt Microfinance Bank","090572","NG","ewt","NGN"
"Snow Microfinance Bank","090573","NG","snow","NGN"
"GOLDMAN MICROFINANCE BANK","090574","NG","goldman","NGN"
"Firstmidas Microfinance Bank Ltd","090575","NG","firstmidas","NGN"
"Octopus Microfinance Bank Ltd","090576","NG","octopus","NGN"
"Iwade Microfinance Bank Ltd","090578","NG","iwade","NGN"
"Gbede Microfinance Bank","090579","NG","gbede","NGN"
"Otech Microfinance Bank Ltd","090580","NG","otech","NGN"
"BANC CORP MICROFINANCE BANK","090581","NG","banc_corp","NGN"
"STATESIDE MFB","090583","NG","stateside","NGN"
"ISLAND MICROFINANCE BANK ","090584","NG","islandmicrofinance","NGN"
"GOMBE MICROFINANCE BANK LTD","090586","NG","gombe","NGN"
"Microbiz Microfinance Bank","090587","NG","microbiz","NGN"
"Orisun MFB","090588","NG","orisun","NGN"
"Mercury MFB","090589","NG","mercury","NGN"
"WAYA MICROFINANCE BANK LTD","090590","NG","waya","NGN"
"Gabsyn Microfinance Bank","090591","NG","gabsyn","NGN"
"KANO POLY MFB","090592","NG","kano_poly","NGN"
"TASUED MICROFINANCE BANK LTD","090593","NG","tasued","NGN"
"IBA MFB ","090598","NG","ibamfb","NGN"
"Greenacres MFB","090599","NG","greenacres","NGN"
"AVE MARIA MICROFINANCE BANK LTD","090600","NG","avemaria","NGN"
"KENECHUKWU MICROFINANCE BANK","090602","NG","kenechukwu","NGN"
"Beta-Access Yello","100052","NG","betaaccess","NGN"
"Nombank MFB","090645","NG","nombank","NGN"
"OKO MFB","90348","NG","okomfb","NGN"
"OBELEDU MFB","90755","NG","obeledumfb","NGN"
"CENTRUM FINANCE","50032","NG","cenfinance","NGN"
"UBJ MFB","90762","NG","ubjmfb","NGN"
"OKWO-OHA MFB","90752","NG","okwoohamfb","NGN"
"UVUOMA MFB","90765","NG","uvuoma","NGN"
"MAAL MFB","90764","NG","maalmfb","NGN"
"SWIFT TRUST MFB","90757","NG","swifttrust","NGN"
"HILLPOST MFB","90761","NG","hillpost","NGN"
"ADVANCLY MFB","90759","NG","advanclymfb","NGN"
"RETRUST MFB","90766","NG","retrustmfb","NGN"
"BLOOM MFB","90743","NG","bloommfb","NGN"
"AMPLE MFB","90770","NG","amplemfb","NGN"
"Kenya Commercial Bank Limited","01","KE","kenyacommercial","KES"
"Standard Chartered Bank Limited","02","KE","standardchartered","KES"
"Absa Bank Kenya Plc","03","KE","absabank","KES"
"NCBA Bank Kenya PLC","07","KE","ncbabank","KES"
"Prime Bank Limited","10","KE","primebank","KES"
"Co-operative Bank of Kenya Limited","11","KE","co-operativebank","KES"
"National Bank of Kenya Limited","12","KE","nationalbank","KES"
"M-Oriental Commercial Bank","14","KE","m-orientalcommercial","KES"
"Citibank N.A.","16","KE","citibankn.a.","KES"
"Middle East Bank Kenya Limited","18","KE","middleeast","KES"
"Bank of  Africa Kenya Limited","19","KE","bankof","KES"
"Dubai Bank Kenya Limited","20","KE","dubaibank","KES"
"Consolidated Bank of Kenya Limited","23","KE","consolidatedbank","KES"
"Credit Bank Limited","25","KE","creditbank","KES"
"Access Bank(Trans-National Bank Limited)","26","KE","accessbank(trans-national","KES"
"CFC Stanbic Bank Kenya Limited","31","KE","cfcstanbic","KES"
"African Banking Corp. Bank Ltd","35","KE","africanbanking","KES"
"EcoBank PLC","43","KE","ecobankplc","KES"
"Spire Bank(Equatorial Commercial Bank Limited)","49","KE","spirebank(equatorial","KES"
"Paramount Universal Bank Limited","50","KE","paramountuniversal","KES"
"Kingdom Bank(Jamii Bora Bank)","51","KE","kingdombank(jamii","KES"
"Guaranty Trust Bank","53","KE","guarantytrust","KES"
"Victoria Commercial Bank Limited","54","KE","victoriacommercial","KES"
"Guardian Bank Limited","55","KE","guardianbank","KES"
"Investments n Mortgages Bank Limited","57","KE","investmentsn","KES"
"Housing Finance Bank","61","KE","housingfinance","KES"
"Diamond Trust Bank Limited","63","KE","diamondtrust","KES"
"Sidian Bank(K-Rep Bank Limited)","66","KE","sidianbank(k-rep","KES"
"Equity Bank Limited","68","KE","equitybank","KES"
"Family Bank Ltd","70","KE","familybank","KES"
"Gulf African Bank Ltd","72","KE","gulfafrican","KES"
"First Community Bank","74","KE","firstcommunity","KES"
"UBA Kenya Bank Ltd","76","KE","ubakenya","KES"
"MPESA","MPS","KE","mpesaundefined","KES"
"Airtel Kenya","MPX","KE","airtelkenya","KES"
"SAFARICOM","SAFARICOM","KE","safaricom","KES"
"T-KASH","T-Kash","KE","t-kash","KES"
"Enterprise Bank","000019","NG","enterprisebank","NGN"
"Globus Bank","000027","NG","globusbank","NGN"
"Lotus Bank","000029","NG","lotusbank","NGN"
"First Bank PLC","011","NG","firstbank","NGN"
"Union Bank PLC","032","NG","unionbank","NGN"
"United Bank for Africa","033","NG","unitedbank","NGN"
"Wema Bank PLC","035","NG","wemabank","NGN"
"Access Bank","044","NG","accessbank","NGN"
"EcoBank PLC","050","NG","ecobankplc","NGN"
"Enco Finance","050012","NG","encofinance","NGN"
"Dignity Finance","050013","NG","dignityfinance","NGN"
"TRINITY FINANCIAL SERVICES LIMITED","050014","NG","trinityfinancial","NGN"
"ZEDVANCE FINANCE LIMITED","050019","NG","zedvancefinance","NGN"
"VALE FINANCE LIMITED","050020","NG","valefinance","NGN"
"Zenith bank PLC","057","NG","zenithbank","NGN"
"Guaranty Trust Bank","058","NG","guarantytrust","NGN"
"Coronation Merchant Bank","060001","NG","coronationmerchant","NGN"
"FBNQUEST Merchant Bank","060002","NG","fbnquestmerchant","NGN"
"Nova Merchant Bank","060003","NG","novamerchant","NGN"
"Greenwich Merchant Bank","060004","NG","greenwichmerchant","NGN"
"Standard Chaterted bank PLC","068","NG","standardchaterted","NGN"
"Fidelity Bank","070","NG","fidelitybank","NGN"
"NPF MicroFinance Bank","070001","NG","npfmicrofinance","NGN"
"Fortis Microfinance Bank","070002","NG","fortismicrofinance","NGN"
"Covenant Microfinance Bank","070006","NG","covenantmicrofinance","NGN"
"Omoluabi savings and loans","070007","NG","omoluabisavings","NGN"
"Page Financials","070008","NG","pagefinancials","NGN"
"Gateway Mortgage Bank","070009","NG","gatewaymortgage","NGN"
"Abbey Mortgage Bank","070010","NG","abbeymortgage","NGN"
"Lagos Building Investment Company","070012","NG","lagosbuilding","NGN"
"Platinum Mortgage Bank","070013","NG","platinummortgage","NGN"
"First Generation Mortgage Bank","070014","NG","firstgeneration","NGN"
"Brent Mortgage Bank","070015","NG","brentmortgage","NGN"
"Infinity Trust Mortgage Bank","070016","NG","infinitytrust","NGN"
"Haggai Mortgage Bank Limited","070017","NG","haggaimortgage","NGN"
"Mayfresh Mortgage Bank","070019","NG","mayfreshmortgage","NGN"
"Coop Mortgage Bank","070021","NG","coopmortgage","NGN"
"Stb Mortgage Bank","070022","NG","stbmortgage","NGN"
"Delta Trust Mortgage Bank","070023","NG","deltatrust","NGN"
"Homebase Mortgage","070024","NG","homebasemortgage","NGN"
"Akwa Savings & Loans Limited","070025","NG","akwasavings","NGN"
"Fha Mortgage Bank Ltd","070026","NG","fhamortgage","NGN"
"Polaris bank","076","NG","polarisbank","NGN"
"Tajwallet","080002","NG","tagwallet","NGN"
"Keystone Bank","082","NG","keystonebank","NGN"
"ASOSavings & Loans","090001","NG","asosavings&","NGN"
"Jubilee-Life Mortgage  Bank","090003","NG","jubilee-lifemortgage","NGN"
"Parralex Microfinance bank","090004","NG","parralexmicrofinance","NGN"
"Trustbond Mortgage Bank","090005","NG","trustbondmortgage","NGN"
"SafeTrust ","090006","NG","safetrust","NGN"
"Ekondo MFB","090097","NG","ekondomfb","NGN"
"FIRSTTRUST MORTGAGE BANK","090107","NG","firsttrustmortgage","NGN"
"New Prudential Bank","090108","NG","newprudential","NGN"
"VFD Micro Finance Bank","090110","NG","vfdmicro","NGN"
"Seed Capital Microfinance Bank","090112","NG","seedcapital","NGN"
"Microvis Microfinance Bank","090113","NG","microvismicrofinance","NGN"
"Empire trust MFB","090114","NG","empiretrust","NGN"
"IBANK Microfinance Bank","090115","NG","ibankmicrofinance","NGN"
"AMML MFB","090116","NG","ammlmfb","NGN"
"Boctrust Microfinance Bank","090117","NG","boctrustmicrofinance","NGN"
"IBILE Microfinance Bank","090118","NG","ibilemicrofinance","NGN"
"Ohafia Microfinance Bank","090119","NG","ohafiamicrofinance","NGN"
"Wetland Microfinance Bank","090120","NG","wetlandmicrofinance","NGN"
"Hasal Microfinance Bank","090121","NG","hasalmicrofinance","NGN"
"Gowans Microfinance Bank","090122","NG","gowansmicrofinance","NGN"
"Verite Microfinance Bank","090123","NG","veritemicrofinance","NGN"
"Xslnce Microfinance Bank","090124","NG","xslncemicrofinance","NGN"
"Regent Microfinance Bank","090125","NG","regentmicrofinance","NGN"
"Fidfund Microfinance Bank","090126","NG","fidfundmicrofinance","NGN"
"BC Kash Microfinance Bank","090127","NG","bckash","NGN"
"Ndiorah Microfinance Bank","090128","NG","ndiorahmicrofinance","NGN"
"Money Trust Microfinance Bank","090129","NG","moneytrust","NGN"
"Consumer Microfinance Bank","090130","NG","consumermicrofinance","NGN"
"Allworkers Microfinance Bank","090131","NG","allworkersmicrofinance","NGN"
"Richway Microfinance Bank","090132","NG","richwaymicrofinance","NGN"
" AL-Barakah Microfinance Bank","090133","NG","al-barakah","NGN"
"Accion Microfinance Bank","090134","NG","accionmicrofinance","NGN"
"Personal Trust Microfinance Bank","090135","NG","personaltrust","NGN"
"Baobab Microfinance Bank","090136","NG","baobabmicrofinance","NGN"
"PecanTrust Microfinance Bank","090137","NG","pecantrustmicrofinance","NGN"
"Royal Exchange Microfinance Bank","090138","NG","royalexchange","NGN"
"Visa Microfinance Bank","090139","NG","visamicrofinance","NGN"
"Sagamu Microfinance Bank","090140","NG","sagamumicrofinance","NGN"
"Chikum Microfinance Bank","090141","NG","chikummicrofinance","NGN"
"Yes Microfinance Bank","090142","NG","yesmicrofinance","NGN"
"Apeks Microfinance Bank","090143","NG","apeksmicrofinance","NGN"
"CIT Microfinance Bank","090144","NG","citmicrofinance","NGN"
"Fullrange Microfinance Bank","090145","NG","fullrangemicrofinance","NGN"
"Trident Microfinance Bank","090146","NG","tridentmicrofinance","NGN"
"Hackman Microfinance Bank","090147","NG","hackmanmicrofinance","NGN"
"Bowen Microfinance Bank","090148","NG","bowenmicrofinance","NGN"
"IRL Microfinance Bank","090149","NG","irlmicrofinance","NGN"
"Virtue Microfinance Bank","090150","NG","virtuemicrofinance","NGN"
"Mutual Trust Microfinance Bank","090151","NG","mutualtrust","NGN"
"Nagarta Microfinance Bank","090152","NG","nagartamicrofinance","NGN"
"FFS Microfinance Bank","090153","NG","ffsmicrofinance","NGN"
"CEMCS Microfinance Bank","090154","NG","cemcsmicrofinance","NGN"
"La  Fayette Microfinance Bank","090155","NG","la","NGN"
"e-Barcs Microfinance Bank","090156","NG","e-barcsmicrofinance","NGN"
"Infinity Microfinance Bank","090157","NG","infinitymicrofinance","NGN"
"Futo Microfinance Bank","090158","NG","futomicrofinance","NGN"
"Credit Afrique Microfinance Bank","090159","NG","creditafrique","NGN"
"Addosser Microfinance Bank","090160","NG","addossermicrofinance","NGN"
"Okpoga Microfinance Bank","090161","NG","okpogamicrofinance","NGN"
"Stanford Microfinance Bak","090162","NG","stanfordmicrofinance","NGN"
"First Multiple Microfinance Bank","090163","NG","firstmultiple","NGN"
"First Royal Microfinance Bank","090164","NG","firstroyal","NGN"
"Petra Microfinance Bank","090165","NG","petramicrofinance","NGN"
"Eso-E Microfinance Bank","090166","NG","eso-emicrofinance","NGN"
"Daylight Microfinance Bank","090167","NG","daylightmicrofinance","NGN"
"Gashua Microfinance Bank","090168","NG","gashuamicrofinance","NGN"
"Alpha Kapital Microfinance Bank","090169","NG","alphakapital","NGN"
"Rahama Microfinance Bank","090170","NG","rahamamicrofinance","NGN"
"Mainstreet Microfinance Bank","090171","NG","mainstreetmicrofinance","NGN"
"Astrapolaris Microfinance Bank","090172","NG","astrapolarismicrofinance","NGN"
"Reliance Microfinance Bank","090173","NG","reliancemicrofinance","NGN"
"Malachy Microfinance Bank","090174","NG","malachymicrofinance","NGN"
"Rubies Microfinance Bank","090175","NG","rubiesmicrofinance","NGN"
"Bosak Microfinance Bank","090176","NG","bosakmicrofinance","NGN"
"BOSAK MFB","090176","NG","bosakmfb","NGN"
"Lapo Microfinance Bank","090177","NG","lapomicrofinance","NGN"
"GreenBank Microfinance Bank","090178","NG","greenbankmicrofinance","NGN"
"FAST Microfinance Bank","090179","NG","fastmicrofinance","NGN"
"AMJU Unique Microfinance Bank","090180","NG","amjuunique","NGN"
"Balogun Fulani  Microfinance Bank","090181","NG","balogunfulani","NGN"
"Standard Microfinance Bank","090182","NG","standardmicrofinance","NGN"
"Girei Microfinance Bank","090186","NG","gireimicrofinance","NGN"
"Baines Credit Microfinance Bank","090188","NG","bainescredit","NGN"
"Esan Microfinance Bank","090189","NG","esanmicrofinance","NGN"
"Mutual Benefits Microfinance Bank","090190","NG","mutualbenefits","NGN"
"KCMB Microfinance Bank","090191","NG","kcmbmicrofinance","NGN"
"Midland Microfinance Bank","090192","NG","midlandmicrofinance","NGN"
"Unical Microfinance Bank","090193","NG","unicalmicrofinance","NGN"
"NIRSAL Microfinance Bank","090194","NG","nirsalmicrofinance","NGN"
"Grooming Microfinance Bank","090195","NG","groomingmicrofinance","NGN"
"Pennywise Microfinance Bank","090196","NG","pennywisemicrofinance","NGN"
"ABU Microfinance Bank","090197","NG","abumicrofinance","NGN"
"RenMoney Microfinance Bank","090198","NG","renmoneymicrofinance","NGN"
"Xpress Payments","090201","NG","xpresspayments","NGN"
"Accelerex Network","090202","NG","accelerexnetwork","NGN"
"New Dawn Microfinance Bank","090205","NG","newdawn","NGN"
"Itex Integrated Services Limited","090211","NG","itexintegrated","NGN"
"UNN MFB","090251","NG","unnmfb","NGN"
"Yobe Microfinance Bank","090252","NG","yobemicrofinance","NGN"
"Coalcamp Microfinance Bank","090254","NG","coalcampmicrofinance","NGN"
"Imo State Microfinance Bank","090258","NG","imostate","NGN"
"Alekun Microfinance Bank","090259","NG","alekunmicrofinance","NGN"
"Above Only Microfinance Bank","090260","NG","aboveonly","NGN"
"Quickfund Microfinance Bank","090261","NG","quickfundmicrofinance","NGN"
"Stellas Microfinance Bank","090262","NG","stellasmicrofinance","NGN"
"Navy Microfinance Bank","090263","NG","navymicrofinance","NGN"
"Auchi Microfinance Bank","090264","NG","auchimicrofinance","NGN"
"Lovonus Microfinance Bank","090265","NG","lovonusmicrofinance","NGN"
"Uniben Microfinance Bank","090266","NG","unibenmicrofinance","NGN"
"Kuda","090267","NG","kudaundefined","NGN"
"Adeyemi College Staff Microfinance Bank","090268","NG","adeyemicollege","NGN"
"Greenville Microfinance Bank","090269","NG","greenvillemicrofinance","NGN"
"AB Microfinance Bank","090270","NG","abmicrofinance","NGN"
"Lavender Microfinance Bank","090271","NG","lavendermicrofinance","NGN"
"Olabisi Onabanjo University Microfinance Bank","090272","NG","olabisionabanjo","NGN"
"Emeralds Microfinance Bank","090273","NG","emeraldsmicrofinance","NGN"
"Prestige Microfinance Bank","090274","NG","prestigemicrofinance","NGN"
"BANKIT MFB","090275","NG","bankitmfb","NGN"
"Trustfund Microfinance Bank","090276","NG","trustfundmicrofinance","NGN"
"Al-Hayat Microfinance Bank","090277","NG","al-hayatmicrofinance","NGN"
"Glory Microfinance Bank ","090278","NG","glorymicrofinance","NGN"
"Ikire Microfinance Bank","090279","NG","ikiremicrofinance","NGN"
"Megapraise Microfinance Bank","090280","NG","megapraisemicrofinance","NGN"
"Mint-Finex MICROFINANCE BANK","090281","NG","mint-finexmicrofinance","NGN"
"Arise Microfinance Bank","090282","NG","arisemicrofinance","NGN"
"Thrive Microfinance Bank","090283","NG","thrivemicrofinance","NGN"
"First Option Microfinance Bank","090285","NG","firstoption","NGN"
"Safe Haven MFB","090286","NG","safehaven","NGN"
"Assets Matrix Microfinance Bank","090287","NG","assetsmatrix","NGN"
"Pillar Microfinance Bank","090289","NG","pillarmicrofinance","NGN"
"Fct Microfinance Bank","090290","NG","fctmicrofinance","NGN"
"Halacredit Microfinance Bank","090291","NG","halacreditmicrofinance","NGN"
"Afekhafe Microfinance Bank","090292","NG","afekhafemicrofinance","NGN"
"Brethren Microfinance Bank","090293","NG","brethrenmicrofinance","NGN"
"Eagle Flight Microfinance Bank","090294","NG","eagleflight","NGN"
"Omiye Microfinance Bank","090295","NG","omiyemicrofinance","NGN"
"Polyuwanna Microfinance Bank","090296","NG","polyuwannamicrofinance","NGN"
"Alert Microfinance Bank","090297","NG","alertmicrofinance","NGN"
"Federalpoly Nasarawamfb","090298","NG","federalpolynasarawamfb","NGN"
"Kontagora Microfinance Bank","090299","NG","kontagoramicrofinance","NGN"
"Sunbeam Microfinance Bank","090302","NG","sunbeammicrofinance","NGN"
"Purplemoney Microfinance Bank","090303","NG","purplemoneymicrofinance","NGN"
"Evangel Microfinance Bank","090304","NG","evangelmicrofinance","NGN"
"Sulsap Microfinance Bank","090305","NG","sulsapmicrofinance","NGN"
"Aramoko Microfinance Bank","090307","NG","aramokomicrofinance","NGN"
"Brightway Microfinance Bank","090308","NG","brightwaymicrofinance","NGN"
"Edfin Microfinance Bank","090310","NG","edfinmicrofinance","NGN"
"U And C Microfinance Bank","090315","NG","uand","NGN"
"Bayero Microfinance Bank","090316","NG","bayeromicrofinance","NGN"
"PatrickGold Microfinance Bank","090317","NG","patrickgoldmicrofinance","NGN"
"FUD MFB","090318","NG","fudmfb","NGN"
"Bonghe Microfinance Bank","090319","NG","bonghemicrofinance","NGN"
"Kadpoly Microfinance Bank","090320","NG","kadpolymicrofinance","NGN"
"Mayfair  Microfinance Bank","090321","NG","mayfair","NGN"
"Rephidim Microfinance Bank","090322","NG","rephidimmicrofinance","NGN"
"Mainland Microfinance Bank","090323","NG","mainlandmicrofinance","NGN"
"Ikenne Microfinance Bank","090324","NG","ikennemicrofinance","NGN"
"Sparkle","090325","NG","sparkle","NGN"
"Balogun Gambari Microfinance Bank","090326","NG","balogungambari","NGN"
"Trust Microfinance Bank","090327","NG","trustmicrofinance","NGN"
"Eyowo MFB","090328","NG","eyowomfb","NGN"
"Neptune Microfinance Bank","090329","NG","neptunemicrofinance","NGN"
"Fame Microfinance Bank","090330","NG","famemicrofinance","NGN"
"Unaab Microfinance Bank","090331","NG","unaabmicrofinance","NGN"
"Evergreen Microfinance Bank","090332","NG","evergreenmicrofinance","NGN"
"Oche Microfinance Bank","090333","NG","ochemicrofinance","NGN"
"Grant MF Bank","090335","NG","grantmf","NGN"
"Bipc Microfinance Bank","090336","NG","bipcmicrofinance","NGN"
"Iyeru Okin Microfinance Bank Ltd","090337","NG","iyeruokin","NGN"
"Uniuyo Microfinance Bank","090338","NG","uniuyomicrofinance","NGN"
"SINCERE MFB","090339","NG","sinceremfb","NGN"
"Stockcorp  Microfinance Bank","090340","NG","stockcorp","NGN"
"Unilorin Microfinance Bank","090341","NG","unilorinmicrofinance","NGN"
"Citizen Trust Microfinance Bank Ltd","090343","NG","citizentrust","NGN"
"Oau Microfinance Bank Ltd","090345","NG","oaumicrofinance","NGN"
